Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Talk Down,,Attack,Encounter,3,Last Laugh,"Martial, Consistent, Psyche",Move,Near,"burst 10, one creature you can see",,,Charisma +2,Will,The target is dazed until the end of your next turn.,,,You can use this power again with an action point (replacing the action). You cannot target the same opponent.,,
Sow Distrust,"You convince an enemy with thrown voices, rocks, or any other diversion to choose another target. ",Attack,Daily,5,Last Laugh,"Martial, Consistent, Psyche",Immediate (Counter),Near,"burst 10, one creature",,A creature makes a ranged attack against you or an adjacent ally.,Charisma +2,Will,The target’s attack is directed to any other target in range and line of sight (your choice).,,,,,
Perfect Masquerade,"Your accent and mannerisms are flawless. No matter the task or test, you can fake it. ",Attack,Daily,5,Last Laugh,"Martial, Psyche",Standard,Near,"burst 10, all creatures","This power cannot be used if you, the target, or any of the target's allies has taken damage previously in the encounter.",,Charisma +2,Will,"Your allies gain concealment against the target, and the target is dazed until the end of your next turn.",,You gain a +3 power bonus to Bluff checks and can make a Bluff check in place of any knowledge (but not monster knowledge) check until the end of your next turn.,,Standard: Repeat the attack.,
Cool Nerves,The group is under fire. Tempers are fraying. Someone’s about ready to snap. You blurt out a comical remark that brings it all home.,Utility,Daily,6,Last Laugh,"Martial, Psyche",Move,Near,"earshot, all allies",,,,,,,"The target gains a +2 power bonus to Will defense until the end of the encounter. On his next turn, the target can either spend a healing surge or gain an additional move action.",,,
Fast-Talk,"While normal people bog down someone with a lot of useless banter, you get to the point, and it works.",Utility,Daily,6,Last Laugh,Martial,Free,Self,,,,,,,,"You gain a +10 power bonus to your next Bluff, Diplomacy, or Intimidate check, and you gain a +3 power bonus to all other skill checks with those skills until the end of the encounter (or five minutes).",Spend an action point if you use this power during a skill challenge to gain another +10 power bonus.,,
Smooth Talker,"You step in during an escalating conversation and attempt to smooth out the ripples of an impending confrontation. If the situation requires, you can also spot a liar.",Utility,Encounter,6,Last Laugh,Martial,No,Self,,,,,,,,"Gain a +5 power bonus to your next Bluff, Diplomacy, Insight, or Perception check or your next attack with the psyche keyword.","If you fail the check or miss with the attack, this power is not expended.",,
Empathic Response,"""I know what you're going through. This is not the solution. We can make a deal. Just me...just talk to me. You know you can trust me.""",Attack,Encounter,7,Last Laugh,"Martial, Psyche, Consistent",Move,Near,"burst 10, one creature you can see",,,Charisma +2,Will,The target is marked and cannot make any attack that only includes you (save ends both).,,,You can use this power again with an action point (replacing the action). You cannot target the same creature.,,
Instant Infatuation,"You say and do exactly what they want you to say or do, instantly enticing your target.",Attack,Daily,9,Last Laugh,"Martial, Psyche, Consistent",Swift,Near,"burst 2, one creature you can see","You, the target, and the target’s allies have not been damaged this encounter.",,Charisma +2,Will,"Until the end of your next turn, the target suffers a -4 penalty to Will defense and a -4 penalty to attack rolls with attacks that include you.","Until the end of your next turn, you gain a +4 power bonus to Will defense against the target’s attacks and a +4 power bonus to Bluff and Diplomacy checks against the target.",,,Swift: The effects persist.  You can sustain until you inflict damage on the target or until the target inflicts damage on you.,
Read Body Language,You read your opponent’s movements and their next course of action. You throw a diversion to prevent concentration. ,Attack,Daily,9,Last Laugh,"Martial, Psyche, Consistent",Immediate (Counter),Near,"burst 10, the triggering enemy",,One enemy in burst you can see uses a power.,Charisma +2,Will,"The triggering power is expended and the target’s action is lost. If you score a critical hit, the target is also stunned until the start of your next turn.",,,"Spend a recovery as part of this power, but regain no hit points; instead, you recover the use of this power.",,
I Know This Trick,Your enemy attempts a tricky tactic you have been trained to avoid.,Utility,Encounter,10,Last Laugh,Martial,No,Self,,,"You are affected by one following conditions that a save can end:  dazed, marked, slowed, or stunned.",,,,,You gain a +5 power bonus to saving throws against the triggering condition until you save.,,,
Gruff and Tough,You snort and spout a boast about your abilities. ,Attack,Encounter,13,Last Laugh,"Fear, Martial, Psyche",Move,Near,"burst 10, one creature you can see",,,Charisma +2,Will,,,"The target is stunned until the end of your next turn, and you push the target its speed.",,,
Center of Attention,,Attack,Encounter,13,Last Laugh,Martial,Free,Self,,,,,,,,"You mark all enemies that can see you until the end of your next turn. You lose all benefits of cover or concealment. Until the end of your next turn, basic attacks only require a minor action.",,,
Backup Plan,You realize things are going badly and act quickly with a backup.,Attack,Daily,15,Last Laugh,"Booster, Martial, Weapon",Free,Melee or Ranged,"weapon, one creature",,"You make a Bluff, Diplomacy or Intimidate check and dislike the result.",,,,,"Make a basic attack against the target. On a hit, it takes 3dW extra damage from the attack and is dazed (save ends). On a miss, half damage, and the target is dazed until the start of your next turn.",,,
Stunning Good Looks,,Attack,Daily,15,Last Laugh,"Martial, Psyche",Standard,Near,"burst 5, all enemies","You, the target, and the target’s allies have not been damaged this encounter.",,Charisma +2,Will,"Until the end of your next turn, the target is dazed and helpless, and your allies gain concealment against it. You gain a +10 power bonus to your next Diplomacy or Bluff check against the target and a +5 bonus to all other Diplomacy and Bluff checks until the end of your next turn.",The target is dazed until the end of your next turn and you gain a +3 bonus to all Diplomacy and Bluff checks until the end of your next turn.,,"If the target takes any damage, he is no longer helpless, though he is still dazed.",Standard:  The effect persists until the target takes damage or until you take damage.,
Method Acting,"You become the part. You take on the role so flawlessly, the old you is pushed away.",Utility,Daily,16,Last Laugh,Martial,Swift,Self,,,,,,,,"Until the end of the encounter (or five minutes), you gain a +5 power bonus to all Bluff and Intimidate checks and can use Bluff in place of any Intelligence- or Wisdom-based skill.",,,
Unshakable Persona,"You can recover in an instant, changing course fast enough that listeners didn’t even notice.",Utility,Daily,16,Last Laugh,Martial,No,Self,,,"You make any Intelligence-, Wisdom-, or Charisma-based skill check and dislike the result.",,,,,You succeed at the roll.,,,
Dazzling Personality,"You manage to direct your opponent to doing exactly what you wanted, even if your target wasn’t even aware of it. ",Attack,Encounter,17,Last Laugh,"Martial, Psyche",Move,Near,"burst 10, one creature you can see",,,Charisma +2,Will,The target is dominated until the start of your next turn.,,,You can use this power again with an action point (replacing the action). You cannot target the same creature.,,
Lead the Shot,The time for talking is over.  You give your ally the sign to end the conversation.,Attack,Daily,19,Last Laugh,Martial,Free,Near,"earshot, one ally",,,,,,,"The target can take any action available to it as an immediate interrupt until the start of your next turn. The target gains a +4 power bonus to attack rolls made as part of that action. Before or after your ally acts, you can take a move action.",,,
Intimate Assassin,,Attack,Daily,19,Last Laugh,"Martial, Psyche, Consistent",Move,Near,"burst 1, one creature you can see","This power cannot be used if you, the target, or any of the target's allies has taken damage previously in the encounter.",,Charisma +2,Will,,,"Until the start of your next turn, the target is stunned and helpless against your attacks.",,,
Butt In,You step forward an instant before things go sour and you attempt to cool the situation or at least stall while others prepare. ,Utility,Daily,22,Last Laugh,"Martial, Psyche",No,Self,,You cannot be surprised.,You roll for initiative.,,,,,"Gain a +10 power bonus to initiative. If you act first in an encounter, you gain a surprise action which must be used for a power with the psyche keyword.",,,
All Attention,"You draw the attention of all those around, allowing allies to get into a better position.",Attack,Encounter,23,Last Laugh,"Martial, Open, Psyche",Move,Near,"burst 10, four creatures",,,Charisma +2,Will,The target is marked and cannot make attacks that do not include you until the end of your next turn. Each ally in burst can shift his speed.,,You gain a +4 power bonus to all defenses until the start of your next turn.,You can use this power again with an action point (replacing the action). You cannot target the same creatures.,,
Touched a Nerve,You must have really said something to upset them.,Attack,Daily,25,Last Laugh,"Martial, Psyche, Consistent",Move,Near,"burst 10, one creature you can see",,,Charisma +2,Will,"The target is helpless (save ends).  If the target is hit by an attack, he is no longer helpless.",,,,,
Feign Mortality,"You lure your opponent with an award-winning performance faking injury, death, or vulnerability. When your enemy least suspects it, you strike.",Attack,Daily,25,Last Laugh,"Booster, Martial, Psyche, Weapon",Free,Melee or Ranged,"weapon, the creature that staggered you",You are staggered,,,,,,"You appear to suffer from any condition. You can drop prone as part of this action. You gain a +10 bonus to Bluff checks to enforce the illusion. This effect lasts until you make the following attack.
*Attack:* As an immediate interrupt or as a minor action on your turn, make a basic attack against the target. You automatically score a critical hit, and deal 1dW extra damage.","Spend a recovery as part of this power, but regain no hit points; instead, the power is not expended. It cannot be used more than once per encounter.",,
Destructive Criticism,You really know what to say to bring someone down.,Attack,Encounter,27,Last Laugh,"Martial, Psyche, Consistent",Move,Near,"burst 10, one creature",,,Charisma +2,Will,The target fails its next saving throw or one condition with a finite duration lasts an additional round.,,,You can use this power again with an action point (replacing the action).,Move:  Repeat the attack.  You can sustain until you miss.,
Commanding Presence,You give the illusion of authority.,Attack,Daily,29,Last Laugh,"Martial, Psyche, Consistent",Move,Near,"burst 10, two creatures you can see",,,Charisma +2,Will,The target is dominated (save ends).,,,,,
,,,,,,,,,,,,,,,,,,,
Starfall,,,,,,,,,,,,,,,,,,,
Attack of Necessity,"Out of options, become a hero.",Attack,At-Will,1,Starfall,"Martial, Weapon",Standard,Near,"arc 3, all creatures",,,Dexterity,Reflex,"1dW damage, and the target is pushed to the nearest empty square outside of the blast. If the target cannot move to the nearest empty square, the target takes additional damage equal to your Dexterity modifier. Increase to 2dW damage at 21st level.",,,"If you do not move this turn, arc 4 instead.",,
Micro Burst,Your shots are more to impede enemies than kill them.,Attack,At-Will,1,Starfall,"Martial, Weapon",Standard,Far,"burst 1 (weapon range), all creatures you can see",,,Dexterity,Reflex,1 damage and the target is slowed until the start of your next turn.,,,"If you do not move this turn, your Dexterity modifier in damage instead.",,
Potential Push,The power of your attack sends the enemy tumbling back.,Attack,At-Will,1,Starfall,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"1dW + Dexterity modifier damage, and the target is pushed 1 square. If the target cannot be pushed because of an obstruction or difficult terrain, it takes additional damage equal to your Intelligence modifier. Increase damage to 2dW + Dexterity modifier at 21st level.",,,"If you do not move this turn, the target is pushed 2 squares instead of 1 (and suffers the indicated damage if it cannot be pushed at least 2 squares).",,
Rapid Shots,You shoot towards an area.,Attack,At-Will,1,Starfall,"Martial, Weapon",Standard,Far,"wall 3 (weapon range), all creatures in wall you can see",,,Dexterity,Reflex,1dW damage.  Increase damage to 2dW at 21st level.,,,"If you do not move this turn, wall 4 instead of a wall 3.",,
Focused Shot,You make a continuous stream of attacks against a single target. ,Attack,Encounter,1,Starfall,"Martial, Consistent, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,2dW + Dexterity modifier damage.,,,"If you do not move this turn, the target is also slowed or weakened (your choice) until the start of your next turn.",,
Pinning Shot,Your shots force an enemy down or to cover. ,Attack,Encounter,1,Starfall,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"1dW + Dexterity modifier damage, and the target is slowed until the start of your next turn.",,,"If you do not move this turn, the target is immobile instead of slowed.",Standard:  Repeat the attack against the same target.  You can sustain only once.,
